,Group,Distance,Age_shield,Sample_Name,Sr,Nd,Hf,Sr_m,Nd_m,Hf_m,X_OC,X_SED,X_RC,Fd,P0,F_per,F_tot,dT_RC,Tp,d_rho_RC,d_rho_per,d_rho_c,d_rho_T,d_rho,v_p,Q_p,Q_v
10,HAWAII - KILAUEA,0,0.15,s_K207-17 [15983],0.703604,5.891188577,11.84645579,0.70360404546955,5.892720045963586,11.845118822979869,0.04554547418811156,0.0050134437583695644,0.05298098165679434,0.006330255731747954,4.45610871381711,0.03484300713346487,0.059536780867305475,14.864532321011344,1547.8807927208404,9.53657669822298,-1.2859001660379301,8.25067653218505,-19.590198479363202,-11.339521947178152,21.236296559458204,103.59069985587485,7.018140493376935
11,HAWAII - KILAUEA,0,0.15,s_S509-6C [15983],0.703573,5.325478415,11.98790601,0.7035737310710053,5.360805097861247,11.925471153956813,0.048747695269239444,0.005382573466032941,0.056166730672616544,0.0015657532869829027,4.564124542416611,0.04994809055939,0.07160210248097382,15.130580842534037,1557.4639085119907,10.110011521070978,-0.31699025439792494,9.793021266673053,-20.538926942687077,-10.745905676014024,20.124590860074793,98.16779708606016,7.998540759327182
12,HAWAII - KILAUEA,0,0.15,s_S504-3B [15983],0.703652,6.027739305,11.70500557,0.7036520388405625,6.027938360469985,11.703860137146837,0.035587022725015,0.0043552953106131675,0.044695464091240644,0.008130369824559206,4.311725642649561,0.022832202181623844,0.04740139090472842,12.33352299264141,1535.0752455538782,8.045183536423316,-1.6660170323976708,6.379166504025646,-18.32244930983394,-11.943282805808293,22.36700072005586,109.1062771599643,5.885139541242436
13,HAWAII - KILAUEA,0,0.15,s_S504-2B [15983],0.703685,6.047246552,11.74036812,0.7036850659823444,6.04747117345926,11.740030594522395,0.041540098788354095,0.004658138494119954,0.04727216581475125,0.009308056008326696,4.343026194398142,0.024726587812989226,0.04751767117547259,13.036721328033577,1536.8282299916661,8.508989846655226,-1.902195446856294,6.606794399798932,-18.49599476917495,-11.889200369376017,22.265716850763674,108.61221422979604,5.872861478847493
14,HAWAII - KILAUEA,0,0.15,s_S505-10B [15983],0.703622,6.651971207,11.77573068,0.7036220000297659,6.651972795897058,11.775731674940946,0.036731463403547986,0.0035054151799691047,0.040343793513630065,0.008181131898059983,4.2582789937811,0.02029759613610929,0.048117461636800876,11.836065386559497,1530.7087125303774,7.261882832453412,-1.6840553734412005,5.577827459012211,-17.89016254050736,-12.31233508149515,23.05815010086193,112.47770531186436,6.158643969696135
15,HAWAII - KILAUEA,0,0.15,s_S504-2A [15983],0.703669,4.915826229,12.05863112,0.7036691633705983,5.3080291715472505,11.801889652193882,0.04469521348900991,0.005441290882440629,0.051758507496431676,0.003114357716036649,4.592671719633385,0.05483407965401679,0.0764803341532967,14.746522743534705,1559.4849577938562,9.316531349357701,-0.633453508297166,8.683077841060536,-20.739010821591766,-12.05593298053123,22.577968389507426,110.1353779009651,9.58500988382272
16,HAWAII - KILAUEA,0,0.15,s_S509-4B [15983],0.703531,5.832666836,11.31601747,0.7035309969124417,5.834295372975092,11.314561702267362,0.04135401799660793,0.003348563029753163,0.04602930595380695,0.007288622297305734,4.258384532734084,0.020298311381687327,0.04922314046625528,13.792782417707688,1537.0538133625128,8.28527507168525,-1.4914468293584808,6.79382824232677,-18.518327522888764,-11.724499280561995,21.95726988253935,107.10760926172549,5.99936915716983
17,HAWAII - KILAUEA,0,0.15,s_S506-1 [15983],0.703658,5.852174083,12.6951571,0.703658009521444,5.919871012457847,12.636734826877195,0.04836137443798054,0.005410767687270145,0.055731001686301636,0.005644501527310691,4.577309961598004,0.0521592273073123,0.08180413318564972,14.913307325837625,1556.2892260793801,10.031580303534295,-1.1432695137807816,8.888310789753513,-20.42263338185863,-11.534322592105118,21.60111302040894,105.37027532954656,9.808651490227746
18,HAWAII - KILAUEA,0,0.15,s_S709-4 [15983],0.703572,5.832666836,11.17456725,0.7035720065613758,5.833470982606352,11.173422438644955,0.04616578619441805,0.004597123188029328,0.05095593360107249,0.007247925576300095,4.31195600947717,0.022845753112210793,0.0510677425544276,14.432389901300231,1539.3659530324067,9.172068048193049,-1.4754598634251115,7.696608184767937,-18.747229350208258,-11.05062116544032,20.69525235090842,100.95148505400405,5.866449200842269
19,HAWAII - KILAUEA,0,0.15,s_S709-9 [15983],0.703569,6.456898738,11.24529236,0.7035689987001739,6.456908516075764,11.245325146380598,0.03183018332702261,0.003107247022887805,0.034629183814382694,0.011343085812210205,4.034051867474584,0.015172828214534423,0.03680495559420329,10.487173454057519,1518.9642976540722,6.233253086588885,-2.3488359198440265,3.8844171667448584,-16.72746546775315,-12.84304830100829,24.05205296291429,117.3259655902275,4.91378756788436
20,HAWAII - KILAUEA,0,0.15,s_K209-8A [15983],0.70365,5.696116107,12.05863112,0.7036500564662111,5.697397745833623,12.0562557920393,0.043600491623221896,0.005349499427520259,0.05270909390184332,0.0054228533051530695,4.497315898649052,0.0399557773647939,0.057146782371304085,14.878422277871437,1553.3331910888442,9.487636902331797,-1.1018907087207668,8.38574619361103,-20.129985917795572,-11.744239724184542,21.994239158399168,107.28794546812385,6.9768382322113816
21,HAWAII - KILAUEA,0,0.15,s_S506-7B [15983],0.703439,8.388116185,12.37689411,0.7034389721031777,8.216151077758898,12.493363157043678,0.01755102502381542,0.0011187481760651832,0.019577077391845846,0.021863876432346174,3.626073348641081,0.008706603969366542,0.02110455505690887,5.605320000520846,1494.8185388329816,3.523873930532252,-4.597988887923369,-1.0741149573911164,-14.337035344465182,-15.4111503018563,28.86151282718289,140.78652105353075,3.3810626620648856
22,HAWAII - KILAUEA,0,0.15,s_S506-6A [15983],0.703583,6.964087158,12.55370688,0.7035830001550809,6.9645896424738325,12.553684702046255,0.03452111949865318,0.0036368992923159534,0.03839718213741597,0.009354397045887908,4.335275893228218,0.024225488077076314,0.04729612233390584,11.18067176253361,1537.0070906161156,6.911492784734874,-1.9294735228478521,4.9820192618870225,-18.51370197099545,-13.531682709108427,25.341705611375424,123.61689395671664,6.653027289337003
23,HAWAII - KILAUEA,0,0.15,s_S506-8C [15983],0.703498,6.82753643,11.66964302,0.7034980124839094,6.827536835222634,11.670120568086357,0.02903434120445692,0.0025172639082716723,0.032405004126842885,0.01174067102273111,3.9047919781089426,0.013499737383771084,0.03553009154598849,9.167559521387815,1518.0988535738597,5.832900742831719,-2.436766016639441,3.3961347261922783,-16.641786503812114,-13.245651777619836,24.806035967225974,121.00389629143989,4.892283583367351
24,HAWAII - KILAUEA,0,0.15,s_S506-8A [15983],0.70353,6.63246396,12.09399367,0.7035300068613253,6.632471506197531,12.093981168998347,0.03383074151510533,0.0036873205460968917,0.03947943655880683,0.008603231905652809,4.3017304087534765,0.022294707292107082,0.04554266294374222,10.748938722746747,1535.2864401152901,7.106298580585229,-1.7725381582693542,5.3337604223158745,-18.343357571413723,-13.009597149097848,24.363960356025,118.84745051826546,6.159198950424921
25,HAWAII - KILAUEA,0,0.15,s_K209-1B [15983],0.703588,6.63246396,11.59891791,0.7035880055266328,6.632465314395704,11.599059955161538,0.03353356917071147,0.0032749502784645097,0.03671596807528972,0.010251520781701497,4.170370032037807,0.017549979810525217,0.04248771715015873,10.896193655882698,1524.8186376729277,6.60887425355215,-2.118214585334857,4.490659668217293,-17.307045129619844,-12.81638546140255,24.00211964371244,117.08239075278992,5.6607101914404705
26,HAWAII - KILAUEA,0,0.15,s_K208-9 [15983],0.703595,6.593449466,12.16471878,0.7035950420339685,6.593481196911245,12.164358925188065,0.03425460905110563,0.004099571613264578,0.038401656634566496,0.008334210382527508,4.287043700352777,0.021590679353286613,0.04740464511964469,11.62636438626351,1535.1222878562112,6.912298194221969,-1.7190379414274024,5.193260252794566,-18.32710649776491,-13.133846244970343,24.596650116623724,119.98251166615577,6.472242646249157
27,HAWAII - KILAUEA,0,0.15,s_HW11-2 [7966],0.703574,6.651971207,10.62963028,0.7035740006785194,6.565433081405708,10.653769622512444,0.02632020928274391,0.0021028014164134416,0.02834354248555961,0.01673985506606189,3.730524475479802,0.010743746630745173,0.030898907720816264,8.437111253519273,1503.6390479939587,5.10183764740073,-3.4889257845144965,1.6129118628862336,-15.210265751401911,-13.597353888515677,25.464692510452657,124.21682431240949,4.367566149291917
28,HAWAII - KILAUEA,0,0.15,s_HW1 [7966],0.703595,6.554434973,11.22690383,0.7035950217826535,6.554441738223641,11.227332332577692,0.029589584659105314,0.0027128018802180607,0.033275537179829805,0.011035023365509374,4.027690395467291,0.015091508179076252,0.037210796891334066,10.300448298473322,1517.1840291985677,5.989596692369365,-2.2882488990568515,3.7013477933125136,-16.551218890658205,-12.84987109734569,24.06483047920296,117.38829434190308,4.970610182063137
29,HAWAII - KILAUEA,0,0.15,s_HW9 [7966],0.703556,6.495913232,11.35633078,0.7035560012139418,6.495897989284426,11.356334162288244,0.03049381240174217,0.003161892207848588,0.03427709754345991,0.010662329890475546,4.054074631528789,0.015462867175018592,0.03818352308891052,9.555511563381494,1521.2602680788277,6.169877557822783,-2.208675648203131,3.961201909619652,-16.954766539803945,-12.993564630184293,24.33393516379649,118.7009875666133,5.157583540726434
30,HAWAII - KILAUEA,0,0.15,s_HW29 [7966],0.703508,6.242319022,11.19472391,0.7035080102508541,6.242429636836485,11.194635539773891,0.03852424257097291,0.0032744168877949296,0.04146347164070133,0.009717270309962762,4.102159983412784,0.016190160878800437,0.04147197765633934,12.257577479239231,1525.4460938400093,7.463424895326239,-1.9979299085547069,5.465494986771532,-17.369163290160923,-11.903668303389392,22.292811938082338,108.74438412345606,5.131892209119711
31,HAWAII - KILAUEA,0,0.15,s_HW24 [7966],0.703509,6.612956713,10.95355128,0.7035090011661278,6.61212281341534,10.955910339001496,0.030755047680362038,0.0021637903564540057,0.035710004100520096,0.012683019264373797,3.8427026794929064,0.012622529791586285,0.03432323147017386,9.529666335939673,1510.6925686749105,6.427800738093617,-2.6233582935065294,3.8044424445870875,-15.90856429881614,-12.104121854229053,22.66821498169008,110.57560096988081,4.318803250083187
32,HAWAII - KILAUEA,0,0.15,s_HW7-3 [7966],0.703534,6.047246552,10.85913326,0.7035339937507223,6.047247321516023,10.859133092667413,0.042653680237740396,0.0035628021683646515,0.04719885379518766,0.008521037029222182,4.220201253798448,0.018924357503314518,0.04314085334360272,13.152998183620513,1531.2812854737276,8.495793683133778,-1.7414941504596086,6.754299532674169,-17.946847261899034,-11.192547729224865,20.961047911976447,102.2480363671076,5.019490650768851
33,HAWAII - KILAUEA,0,0.15,s_HW6 [7966],0.703459,6.82753643,11.19826016,0.7034590047281104,6.827345078039257,11.200837641059417,0.027400206516177257,0.002067453357355662,0.02926782916677078,0.014276598871895741,3.8154947003268433,0.012203759422524564,0.03195057896872828,8.958763066924545,1511.0688683310377,5.2682092500187405,-2.9727026933240603,2.29550655669468,-15.945817964772734,-13.650311408078053,25.563869671158262,124.70061071360458,4.533809359716241
34,HAWAII - KILAUEA,0,0.15,s_HW27 [7966],0.703591,6.515420479,10.83508673,0.7035910015434116,6.514704334586305,10.83615145133648,0.030834367050783913,0.0026115344258106432,0.034885370559165504,0.011981845114545264,3.864859213103059,0.012946233080021078,0.033714827546796805,9.714658832750079,1505.936054653626,6.279366700649791,-2.4804466846606212,3.79892001598917,-15.437669410708963,-11.638749394719794,21.796680219750453,106.32425254454347,4.0791457473511965
35,HAWAII - KILAUEA,0,0.15,s_HW22 [7966],0.703464,6.866550924,11.03523879,0.703464000621103,6.862084216059788,11.041507888923245,0.027707627461638837,0.0018257070780593482,0.030014211320502658,0.014807305693554217,3.835036879573338,0.012505620059489674,0.033017629474901375,8.548040853387388,1514.7008457469797,5.402558037690478,-3.0808369216011386,2.3217211160893396,-16.30538372895099,-13.98366261286165,26.188159220242717,127.74589646393775,4.799641390369605
36,HAWAII - KILAUEA,0,0.15,s_HW21 [7966],0.70346,6.769014689,10.99987623,0.7034600015395238,6.768368039256625,11.000590521310524,0.02907888525154288,0.0022708950122970603,0.03183678405410838,0.012464653724448212,3.8509083228029093,0.01274449923800296,0.0310199976587442,9.169097058749372,1506.465531272182,5.730621129739508,-2.5885472260176923,3.142073903721816,-15.490087595946022,-12.348013692224207,23.124967869882628,112.80364253148655,3.9818126896003276
37,HAWAII - KILAUEA,0,0.15,s_1963 [5216],0.70358,7.354232097,12.51834433,0.7035799880382311,7.3542351026306525,12.518347730508566,0.030357479098291326,0.00260044009034452,0.03347113152784805,0.011253818636376997,4.124161806350809,0.016579610555090586,0.038717305307467,9.57090550829562,1526.9532941326152,6.024803675012649,-2.3331466571144746,3.6916570178981742,-17.518376119128902,-13.826719101230728,25.894240396186248,126.31215981406672,5.565013552886342
38,HAWAII - KILAUEA,0,0.15,s_K98-3 [15983],0.703701,5.071884205,11.88181834,0.7037022525237997,5.311410816424328,11.772953890830888,0.05070101368743491,0.0056964545980890124,0.05839654790779718,0.003412553992642003,4.579502259803822,0.052538258422305695,0.07303992043300375,14.980163020161132,1558.9739811297786,10.511378623403491,-0.6892469769734277,9.822131646430064,-20.688424131848084,-10.86629248541802,20.35004745324153,99.2675748278087,8.25056414865562
39,HAWAII - MAUNA LOA,30,0.24,s_R153-3.05 [2] / s_R153 [1],0.703618,6.339855256,11.03311703,0.7036179999977242,6.339858313799123,11.033667299915297,0.03546603791179115,0.0033219667273496757,0.03963118901470545,0.011157391239704311,4.108574077127239,0.01631094785843145,0.04302649350648666,10.966452994959578,1521.2836972067034,7.133614022646981,-2.2984126648138163,4.8352013578331645,-16.957086023463642,-12.121884665630478,22.701480610735782,110.73787077923018,5.421857074970872
40,HAWAII - MAUNA LOA,30,0.24,s_R121-2.45 [2] / s_R-121 [17258] / s_R-114 [17258],0.703734,6.027739305,10.60876638,0.7037339998946868,6.027722592325453,10.60892435735245,0.040236739797165105,0.0036689770030128204,0.04391445146231837,0.014583437662194127,4.0914136804918,0.016013623703418557,0.04621199314248669,12.256834920231082,1524.3192212278911,7.904601263217307,-2.990776502318739,4.913824760898568,-17.257602901561224,-12.343778140662657,23.117035663439278,112.76494921155823,5.929864516184615
41,HAWAII - MAUNA LOA,30,0.24,s_R068-1.25 [2] / s_R-68 [17258],0.703805,5.637594366,10.4319536,0.7038050265314166,5.6376327019757575,10.431964424506646,0.042449325190404785,0.004322464334573485,0.04795354887287433,0.0125602466485197,4.117018581383531,0.016448876454521,0.04241066599910715,13.530166938933899,1529.201527551054,8.631638797117379,-2.564977753982477,6.066661043134902,-17.740951227554337,-11.674290184419435,21.863239881924464,106.64893071841769,5.1469214460484185
42,HAWAII - MAUNA LOA,30,0.24,s_R110-3.10 [2] / s_R-110 [17258],0.703709,6.008232058,10.57340382,0.7037089999646178,6.0081422550475825,10.573429617075579,0.03776729116237486,0.0035294101647756256,0.041738013365292315,0.010521697792553856,4.044608640552195,0.015317185343771661,0.04190356702544522,11.06429116396854,1517.4524871689223,7.512842405752616,-2.1627054798197443,5.350136925932873,-16.577796229723308,-11.227659303790436,21.02680375367924,102.56879350301087,4.890825666827289
43,HAWAII - MAUNA LOA,30,0.24,s_R091-2.30 [2] / s_R-91 [17258],0.703679,6.164290034,10.85630426,0.7036789999462871,6.164293307714373,10.856436585185033,0.03672145275839506,0.003524229816598597,0.04012361492117065,0.011014284236134077,4.071510370246125,0.015708338911878804,0.04179038618347052,11.15670009492181,1519.1822591754783,7.2222506858107165,-2.2677693617459838,4.954481324064733,-16.74904365837235,-11.794562334307617,22.088481744391565,107.747661003356,5.123894482826385
44,HAWAII - MAUNA LOA,30,0.24,s_R126-0.90 [2] / s_R-126 [17258],0.703698,6.066753799,10.85630426,0.7036979981756122,6.066755697334432,10.856341553104555,0.03892808379807096,0.003912408301632671,0.042678682180901026,0.010349340481134214,4.130593100442312,0.016737120736117043,0.046011773153028374,12.517952561912136,1527.5637089572333,7.682162792562185,-2.125189695476981,5.556973097085203,-17.5788071867661,-12.021834089680896,22.514109069703693,109.82387200292553,5.750182959232156
45,HAWAII - MAUNA LOA,30,0.24,s_HW35 [7966],0.70389,4.038000117,9.034425447,0.7038900168448678,4.03944297966479,9.033010064128733,0.048359723990792525,0.005619938760491182,0.05774480289100932,0.011440338675236993,4.251654065132089,0.02003480591901557,0.049760713786477506,15.422478766771476,1545.3229889386662,10.394064520381677,-2.3122496340005294,8.081814886381148,-19.336975904927954,-11.255161018546806,21.07830809162051,102.82003177320604,5.822108265353102
46,HAWAII - MAUNA LOA,30,0.24,s_HW33 [7966],0.703915,4.077014611,8.927630532,0.703915032983413,4.07874163404068,8.92563997015922,0.051649633191175444,0.005789008550446666,0.056945252448276557,0.011138274825494785,4.162725035101666,0.017403369201471112,0.048962243817518146,15.92265899328752,1536.900903169851,10.25014544068978,-2.2531086335726616,7.997036807117118,-18.503189413815257,-10.506152606698139,19.675588926417486,95.97756469718885,5.347453051124401
47,HAWAII - MAUNA LOA,30,0.24,s_HW32 [7966],0.703786,5.325478415,10.26327422,0.7037860352149357,5.3259156210978045,10.262202171133275,0.04823219919022481,0.0051150364801705326,0.05593261311832791,0.011200895307028468,4.2001946150306555,0.018323613057112408,0.04967763400469935,15.359143431412706,1535.5477853522402,10.067870361299024,-2.2682087921153125,7.799661569183711,-18.369230749871782,-10.56956918068807,19.79435347207544,96.55689840390774,5.458334571198718
48,HAWAII - MAUNA LOA,30,0.24,s_HW31 [7966],0.70376,5.540058132,10.20881588,0.7037600007875313,5.540092104389637,10.20881802430047,0.04449537659536695,0.004529326575381104,0.04936282499670283,0.01330810763624524,4.104984843708931,0.016238590359483468,0.048275975775270215,14.615684741428367,1524.921895269462,8.88530849940651,-2.713678506387416,6.171629993019094,-17.317267631676746,-11.145637638657652,20.87319618422665,101.81949545199707,5.593426598772343
49,HAWAII - MAUNA LOA,30,0.24,s_HW34 [7966],0.703809,4.954840723,10.13243277,0.7038090228437487,4.955228546711231,10.131236380793382,0.04739927718963907,0.00564399739368381,0.05736486602858686,0.010088516949794266,4.320757790284166,0.023355943566809333,0.05039004032684173,14.957041490267123,1544.738577459079,10.325675885145635,-2.0398500679433,8.285825817202335,-19.279119168448812,-10.993293351246477,20.587890641217562,100.42777440542368,5.758567823220713
50,HAWAII - MAUNA LOA,30,0.24,s_HW30 [7966],0.703755,5.384000156,10.84428099,0.7037550132053079,5.385053978737728,10.842926046809158,0.04965417074434179,0.005352129434028898,0.057010546545812675,0.009823152574077496,4.300154560140897,0.02220851753274769,0.05350848207228634,15.357735967488958,1538.6208475036747,10.261898378246281,-1.9869412299221694,8.274957148324111,-18.673463902863794,-10.398506754539683,19.47399319332739,94.994180281724,5.784097067414257
51,HAWAII - MAUNA LOA,30,0.24,s_L00 002 [17258],0.703876,5.208434934,9.371076967,0.7038760147885541,5.208415609226249,9.371360372353102,0.03596964027910515,0.0036577803233743622,0.04077790675053662,0.016847887740842192,3.8981053594050232,0.013409116106894593,0.03362029457355255,11.397286498222721,1509.7978134987152,7.340023215096592,-3.466505788231762,3.87351742686483,-15.819983536372805,-11.946466109507975,22.372962310122894,109.13535780901105,4.175254309367495
52,HAWAII - MAUNA LOA,30,0.24,s_L91 55 [17258],0.703764,6.320348009,10.46731616,0.7037639736268415,6.28961958789677,10.487537367551628,0.028451733702388664,0.002551545961272018,0.03240130297652255,0.018900260574988482,3.8228563071757735,0.012319619950082706,0.03369779175179553,9.551427097876754,1507.6403569658496,5.8322345357740595,-3.9227475799861757,1.9094869557878837,-15.606395339619112,-13.696908383831229,25.651135007428852,125.12629120983038,4.798063111292821
53,HAWAII - MAUNA LOA,30,0.24,s_L00 003 [17258],0.703753,6.261826268,10.96239192,0.7037530007759426,6.261871188772018,10.962538991810955,0.03533117627150467,0.0034685400673436237,0.03990634327355551,0.01398631430563764,4.0702373033913295,0.01569509466331282,0.04127817159834484,11.527646781925196,1521.6255494144582,7.183141789239992,-2.880342818029468,4.302798971210524,-16.99092939203136,-12.688130420820837,23.761927677091098,115.91073382793964,5.44452566601077
54,HAWAII - MAUNA LOA,30,0.24,s_L93 753 [17258],0.70393,4.97434797,9.512527185,0.7039299964751367,4.974353178918864,9.512523135784338,0.04609238502017487,0.004745061057151347,0.05455888155077549,0.01333238622242338,3.9864668383411073,0.014552305002706475,0.04445317377800961,14.380008682820769,1522.9207892226755,9.820598679139588,-2.703769527400011,7.1168291517395765,-17.119158133044873,-10.002328981305297,18.73204404222011,91.37495074207793,4.6221695386801285
55,HAWAII - MAUNA LOA,30,0.24,s_L87 235 [17258],0.703732,5.988724811,10.4319536,0.7037320000235157,5.988718387151094,10.432357029391213,0.03425218048884758,0.0033627067071035155,0.039605972186059504,0.013320103335031471,3.9757499228135873,0.014416079817611522,0.0380924349165892,10.466419042111,1516.161396214893,7.129074993490711,-2.7440014801117725,4.385073513378939,-16.449978225274418,-12.06490471189548,22.594770363064203,110.21733796376762,4.777542879694126
56,HAWAII - MAUNA LOA,30,0.24,s_L91 564 [17258],0.703932,5.540058132,10.21977828,0.7039320001130736,5.540061987463883,10.219779657583597,0.04368327812859811,0.004004906876014723,0.0498112911179039,0.01566410462612825,3.967584251003215,0.014312373132236069,0.0392290446927683,12.309248686933474,1518.4746082294728,8.966032401222703,-3.1925869726811498,5.773445428541553,-16.678986214717806,-10.905540786176253,20.423550424375517,99.62612247758075,4.447304867963013
57,HAWAII - MAUNA LOA,30,0.24,s_L93 733 [17258],0.703907,4.701246513,9.229626748,0.7039070126826641,4.701395046621296,9.229167490128876,0.04981104714304796,0.004974472586363212,0.05658459081303552,0.016746162995801197,4.070765700488153,0.01569633279379225,0.048082768706254525,15.244251202410402,1523.5498655481722,10.185226346346393,-3.3887971721165107,6.796429174229883,-17.18143668926905,-10.385007515039167,19.44871224632667,94.87085976839948,5.190847208201593
58,HAWAII - MAUNA LOA,30,0.24,s_L00 503 [17258],0.703746,6.222811775,10.53804127,0.7037460026133798,6.221287189312985,10.538931293827668,0.03511164154879357,0.0028073033381494816,0.03987164527860994,0.016141579300614925,3.9871728470822094,0.014561385519770893,0.03653660759841526,10.76553429723208,1511.6616072742315,7.176896150149789,-3.3243184209601626,3.852577729189626,-16.00449912014892,-12.151921390959295,22.757732435965192,111.01226730253028,4.6154615316695455
59,HAWAII - MAUNA LOA,30,0.24,s_J2-020-23 [17258],0.703681,6.047246552,10.85630426,0.703681014164283,6.047425048954112,10.856426705819409,0.03840750504538931,0.0037099864163887887,0.04153651973567081,0.013046896080711638,4.078984971587081,0.015818023232535026,0.0460992330198204,11.72605365191352,1527.4318865537716,7.476573552420746,-2.6823167994835884,4.794256752937157,-17.56575676882339,-12.771500015886234,23.91805960691124,116.6723457142039,6.120368500606492
60,HAWAII - MAUNA LOA,30,0.24,s_L00 506 [17258],0.703714,6.261826268,10.96239192,0.7037140012479375,6.261814402023141,10.962482223481311,0.03655356649005792,0.0034533633518174208,0.03988657180510437,0.011192021538798367,4.09094212992901,0.01600750419331709,0.042057610117011125,11.984786706776344,1522.5774633151946,7.179582924918786,-2.304933381046041,4.874649543872745,-17.085168868204264,-12.210519324331518,22.867472784514323,111.54758095652842,5.338517727208911
